img_id,ty,mod,orig_id,sdir_id,coord_z,coord_y,coord_x
rem_1,rem,real,LIDC-IDRI-0003,3000611,57,198,308
rem_10,rem,real,LIDC-IDRI-0014,3000562,40,276,357
rem_100,rem,real,LIDC-IDRI-0124,3,48,287,393
rem_1000,rem,real,LIDC-IDRI-0884,2,54,248,375
rem_1001,rem,real,LIDC-IDRI-0886,30036,33,185,265
rem_1002,rem,real,LIDC-IDRI-0888,30015,114,350,180
rem_1003,rem,real,LIDC-IDRI-0892,5916,75,182,140
rem_1005,rem,real,LIDC-IDRI-0892,5916,55,170,372
rem_1007,rem,real,LIDC-IDRI-0893,30028,187,335,168
rem_1009,rem,real,LIDC-IDRI-0902,32242,383,349,303
rem_101,rem,real,LIDC-IDRI-0128,3000740,84,315,302
rem_1011,rem,real,LIDC-IDRI-0904,5483,30,383,197
rem_1012,rem,real,LIDC-IDRI-0905,30376,81,322,231
rem_1013,rem,real,LIDC-IDRI-0910,5917,22,318,384
rem_1014,rem,real,LIDC-IDRI-0911,3000043,40,270,104
rem_1015,rem,real,LIDC-IDRI-0912,30074,195,353,342
rem_1016,rem,real,LIDC-IDRI-0912,30074,239,401,381
rem_1017,rem,real,LIDC-IDRI-0913,30020,79,324,125
rem_1019,rem,real,LIDC-IDRI-0920,31055,158,343,107
rem_102,rem,real,LIDC-IDRI-0129,2,188,355,188
rem_1021,rem,real,LIDC-IDRI-0921,30027,101,203,315
rem_1022,rem,real,LIDC-IDRI-0925,3000675,134,369,430
rem_1023,rem,real,LIDC-IDRI-0933,3000290,65,323,155
rem_1024,rem,real,LIDC-IDRI-0935,5413,67,169,83
rem_1026,rem,real,LIDC-IDRI-0936,2,93,193,372
rem_1027,rem,real,LIDC-IDRI-0936,2,75,291,135
rem_1028,rem,real,LIDC-IDRI-0938,2,142,161,347
rem_1029,rem,real,LIDC-IDRI-0939,30930,88,288,120
rem_103,rem,real,LIDC-IDRI-0129,2,199,277,328
rem_1030,rem,real,LIDC-IDRI-0940,30352,258,177,128
rem_1031,rem,real,LIDC-IDRI-0940,30352,123,257,330
rem_1032,rem,real,LIDC-IDRI-0942,30063,154,347,115
rem_1033,rem,real,LIDC-IDRI-0942,30063,153,308,82
rem_1036,rem,real,LIDC-IDRI-0946,5489,46,395,130
rem_1038,rem,real,LIDC-IDRI-0949,3180,42,194,144
rem_1039,rem,real,LIDC-IDRI-0951,30043,247,266,32
rem_104,rem,real,LIDC-IDRI-0130,5582,211,267,185
rem_1040,rem,real,LIDC-IDRI-0958,5492,23,342,106
rem_1041,rem,real,LIDC-IDRI-0961,5474,57,215,165
rem_1042,rem,real,LIDC-IDRI-0962,5350,18,276,155
rem_1043,rem,real,LIDC-IDRI-0962,5350,59,216,362
rem_1044,rem,real,LIDC-IDRI-0965,30011,141,292,143
rem_1045,rem,real,LIDC-IDRI-0973,3000017,146,397,182
rem_1046,rem,real,LIDC-IDRI-0973,3000017,129,283,38
rem_1047,rem,real,LIDC-IDRI-0974,3000038,57,164,381
rem_1048,rem,real,LIDC-IDRI-0978,30023,109,358,326
rem_1049,rem,real,LIDC-IDRI-0980,3152,58,339,431
rem_105,rem,real,LIDC-IDRI-0131,3000694,75,377,345
rem_1050,rem,real,LIDC-IDRI-0980,3152,37,383,364
rem_1051,rem,real,LIDC-IDRI-0982,30786,52,287,184
rem_1052,rem,real,LIDC-IDRI-0986,3,64,178,172
rem_1056,rem,real,LIDC-IDRI-0994,31319,162,363,152
rem_1057,rem,real,LIDC-IDRI-0998,5397,50,290,317
rem_1059,rem,real,LIDC-IDRI-0998,5397,58,323,215
rem_1061,rem,real,LIDC-IDRI-1002,30009,54,328,173
