orig_id,set
LIDC-IDRI-0014,train
LIDC-IDRI-0124,train
LIDC-IDRI-0128,train
LIDC-IDRI-0129,valid
LIDC-IDRI-0130,train
LIDC-IDRI-0133,train
LIDC-IDRI-0015,train
LIDC-IDRI-0137,train
LIDC-IDRI-0140,train
LIDC-IDRI-0141,train
LIDC-IDRI-0016,train
LIDC-IDRI-0142,train
LIDC-IDRI-0144,train
LIDC-IDRI-0145,train
LIDC-IDRI-0153,train
LIDC-IDRI-0160,valid
LIDC-IDRI-0161,train
LIDC-IDRI-0164,valid
LIDC-IDRI-0169,valid
LIDC-IDRI-0179,valid
LIDC-IDRI-0018,train
LIDC-IDRI-0181,train
LIDC-IDRI-0182,train
LIDC-IDRI-0183,train
LIDC-IDRI-0185,train
LIDC-IDRI-0186,train
LIDC-IDRI-0190,train
LIDC-IDRI-0194,train
LIDC-IDRI-0195,train
LIDC-IDRI-0021,train
LIDC-IDRI-0196,train
LIDC-IDRI-0204,train
LIDC-IDRI-0207,train
LIDC-IDRI-0209,train
LIDC-IDRI-0213,train
LIDC-IDRI-0217,train
LIDC-IDRI-0220,train
LIDC-IDRI-0223,train
LIDC-IDRI-0228,train
LIDC-IDRI-0229,train
LIDC-IDRI-0024,valid
LIDC-IDRI-0230,train
LIDC-IDRI-0234,train
LIDC-IDRI-0236,train
LIDC-IDRI-0237,train
LIDC-IDRI-0240,train
LIDC-IDRI-0003,train
LIDC-IDRI-0244,train
LIDC-IDRI-0246,train
LIDC-IDRI-0249,train
LIDC-IDRI-0250,train
LIDC-IDRI-0252,train
LIDC-IDRI-0258,train
LIDC-IDRI-0259,train
LIDC-IDRI-0260,train
LIDC-IDRI-0262,train
LIDC-IDRI-0264,train
LIDC-IDRI-0277,train
LIDC-IDRI-0294,train
LIDC-IDRI-0298,valid
LIDC-IDRI-0300,train
LIDC-IDRI-0304,train
LIDC-IDRI-0305,train
LIDC-IDRI-0031,train
LIDC-IDRI-0308,train
LIDC-IDRI-0312,train
LIDC-IDRI-0321,train
LIDC-IDRI-0325,train
LIDC-IDRI-0332,train
LIDC-IDRI-0340,train
LIDC-IDRI-0033,train
LIDC-IDRI-0348,train
LIDC-IDRI-0362,train
LIDC-IDRI-0036,train
LIDC-IDRI-0377,train
LIDC-IDRI-0385,valid
LIDC-IDRI-0037,valid
LIDC-IDRI-0388,train
LIDC-IDRI-0398,train
LIDC-IDRI-0404,train
LIDC-IDRI-0041,train
LIDC-IDRI-0407,train
LIDC-IDRI-0409,train
LIDC-IDRI-0415,train
LIDC-IDRI-0440,test
LIDC-IDRI-0447,test
LIDC-IDRI-0043,train
LIDC-IDRI-0453,train
LIDC-IDRI-0454,test
LIDC-IDRI-0462,test
LIDC-IDRI-0464,test
LIDC-IDRI-0466,test
LIDC-IDRI-0469,test
LIDC-IDRI-0470,train
LIDC-IDRI-0006,train
LIDC-IDRI-0474,test
LIDC-IDRI-0476,test
LIDC-IDRI-0481,test
LIDC-IDRI-0485,test
LIDC-IDRI-0489,test
LIDC-IDRI-0490,test
LIDC-IDRI-0491,test
LIDC-IDRI-0497,train
LIDC-IDRI-0505,test
LIDC-IDRI-0507,train
LIDC-IDRI-0508,test
LIDC-IDRI-0510,test
LIDC-IDRI-0515,train
LIDC-IDRI-0044,train
LIDC-IDRI-0521,test
LIDC-IDRI-0523,test
LIDC-IDRI-0529,test
LIDC-IDRI-0530,test
